Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10980000,0.88384634,-0.2155745,31.866371,132.75862068965517,-1.635391484908051,-1.308313093026695,0.0,1.0
10990000,0.9871994,0.048665036,40.530636,151.7058823529412,-1.3552962042348278,-1.0842363259744952,3.452891821770564,1.0
11000000,1.0262947,0.26469943,43.350132,227.8181818181818,2.1362537458269135,1.709004017471505,31.699070253155448,1.0
11010000,1.1238743,0.4717872,44.831314,180.88888888888889,-1.5374512360795052,-1.2299596388184,19.560612785629928,1.0
11020000,1.1150029,0.7290597,45.292675,130.0,-3.168858393631776,-2.5350852435221896,5.878254805292402,1.0
11030000,1.07878,0.9756553,44.489124,130.0,-3.0260010055440945,-2.4207996671786534,2.7999683007597924,1.0
11040000,1.2116189,1.3672003,45.85468,None,None,None,None,1.0
11050000,1.2066898,1.5815824,45.184208,None,None,None,None,1.0
11060000,1.1832283,1.7245665,44.25743,3127.0,137.8745982646942,110.29968345165253,906.408842086792,1.0
11070000,1.2479378,1.916829,43.873413,None,None,None,None,1.0
11080000,1.1956177,1.9706936,43.45002,None,None,None,None,1.0
11090000,1.1967669,2.078558,42.44785,None,None,None,None,1.0
11100000,1.1290997,2.2064238,41.886864,4999.0,215.90908573513892,172.7272740379399,1345.3466759703376,1.0
11110000,1.1146369,2.1399174,39.57596,4888.714285714285,211.02208150558207,168.81766994356545,1197.5667313848223,1.0
11120000,1.1210718,2.447647,39.823765,3326.2,141.334637259366,113.06771374735982,689.247157073021,1.0
11130000,1.1925994,2.6480336,39.621967,196.5,1.4606999903917313,1.1685598939657211,17.823734283447266,1.0
11140000,1.1543709,2.7959404,39.882267,None,None,None,None,1.0
11150000,1.1126273,2.6601288,38.897617,3090.6,129.1817977540195,103.34544190103188,741.2775155544281,1.0
11160000,1.121352,2.7036386,38.187294,2260.0,87.29799764684867,69.83840032888111,575.0447452068329,1.0
11170000,1.1672568,2.9577594,38.20984,None,None,None,None,1.0
11180000,1.1668118,3.0757494,37.443626,4999.0,212.99999811977614,170.40000147605315,1152.2183029651642,1.0
11190000,1.1899886,3.1355324,37.391373,None,None,None,None,1.0
11200000,1.1795353,2.9656544,37.163647,2013.0,79.59739926457405,63.67792084813118,454.56132221221924,1.0
11210000,1.1339782,2.828586,36.388416,1589.8,65.18203774315188,52.145632128813304,326.0876630634069,1.0
11220000,1.1139566,2.9979162,36.3522,4999.0,209.09999856895303,167.28000021176413,1212.8422091722489,1.0
11230000,1.0938027,2.905065,35.217625,4999.0,207.58332890138263,166.06666632485576,1177.6197804609935,1.0
11240000,1.0822319,3.0389764,35.510662,4999.0,208.9999961256981,167.19999983906746,1082.8678741455078,1.0
11250000,1.0782963,3.1555321,35.608437,4999.0,210.7499957071268,168.60000120592304,1142.352928340435,1.0
11260000,1.028454,3.2208426,35.56779,None,None,None,None,1.0
11270000,1.0175203,3.1767752,34.76486,4362.0,180.7524463229638,144.60195961839054,1074.1357382172719,1.0
11280000,0.99889934,3.207887,34.121353,4999.0,207.9999958263361,166.3999982078094,1176.403789460659,1.0
11290000,1.0187724,3.3864574,33.905594,None,None,None,None,1.0
11300000,1.0179161,3.4506307,33.508915,4999.0,213.49999928474426,170.8000050485134,1219.8608142137527,1.0
11310000,1.0689772,3.4474905,33.45818,None,None,None,None,1.0
11320000,1.0607072,3.3990378,32.88394,4999.0,213.49999783665407,170.8000009157695,1184.5039283037186,1.0
11330000,1.0918654,3.3636436,32.491604,4999.0,214.49999758333433,171.599999318365,1177.5830278396606,1.0
11340000,1.0659977,3.3436942,32.049988,4999.0,213.89999474233483,171.1200007994659,1188.702734875679,1.0
11350000,0.9958645,3.1643393,30.785553,3319.8,141.285919751646,113.0287372360006,752.6136466979981,1.0
11360000,1.0148413,3.282386,30.883509,4999.0,217.99999662966002,174.40000308537856,1098.9750289916992,1.0
11370000,1.0093396,3.4701622,31.275223,4999.0,216.9999958263361,173.59999908995815,1123.6550891399384,1.0
11380000,1.0154885,3.4818592,31.262213,None,None,None,None,1.0
11390000,0.977197,3.427607,30.57268,4999.0,220.7499959313136,176.59999976551626,1208.6558956503868,1.0
11400000,0.9774511,3.2787287,29.901455,4765.333333333333,204.2134639546663,163.37077602107698,1125.9067406654358,1.0
11410000,1.0407622,3.363866,29.90929,1720.5,76.15589861571789,60.92472097277641,341.4894073009491,1.0
11420000,1.0449756,3.5645278,30.163424,None,None,None,None,1.0
11430000,1.0499389,3.4677024,29.65351,3235.5,140.35289775277488,112.28232075413689,671.3200508356094,1.0
