Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,2.1956062,0.6871462,0.6585173,150.0,-0.9802000436931848,-0.4901000218465924,0.0,1.0
20000,2.1872365,0.6181496,0.5659747,150.0,-0.8135333474725485,-0.40676667373627423,18.836061773697534,1.0
30000,2.1790876,0.5105563,1.3116025,150.0,-1.3611858652930864,-0.6805929326465432,23.989118564296778,1.0
40000,2.1781852,0.37518486,1.994393,150.0,-2.138895762463411,-1.0694478812317054,18.668647506962653,1.0
50000,2.1820166,0.33092532,2.6261783,150.0,-0.7802000101655722,-0.3901000050827861,15.189936863382657,1.0
60000,2.1709573,0.26521537,2.8904757,150.0,-0.8527806605542859,-0.42639033027714296,15.172127548725374,1.0
70000,2.1471844,0.16149686,3.2033207,151.33333333333334,-1.1137385188769071,-0.5568692594384536,18.192032381510124,1.0
80000,2.0992622,0.06443803,3.5832064,151.48333333333332,-2.5221635937690734,-1.2610817968845367,21.915425006548563,1.0
90000,2.0598085,-0.04523745,3.7505052,151.0,-4.4202852203684335,-2.2101426101842168,22.586775981773766,1.0
100000,1.9921857,-0.17907397,4.1326456,173.56603773584905,-3.7874439402982807,-1.8937219701491403,32.817173090533934,1.0
110000,1.9187849,-0.33832005,4.9650545,195.88636363636363,-4.391650634563782,-2.195825317281891,45.98663009499962,1.0
120000,1.8703495,-0.48526648,5.734613,233.20454545454547,-4.558205129240047,-2.2791025646200236,69.1454986388033,1.0
130000,1.8402212,-0.55422837,6.1508527,223.46511627906978,-4.319053044631367,-2.1595265223156836,76.94182208890007,1.0
140000,1.8097515,-0.57272243,6.553547,262.15384615384613,-3.802070491015911,-1.9010352455079556,87.41071166992188,1.0
150000,1.7978883,-0.5971771,7.0200353,245.07142857142858,-5.323024724388406,-2.661512362194203,73.92897913995243,1.0
160000,1.7302464,-0.59699565,7.674094,255.7058823529412,-3.4925180695512714,-1.7462590347756357,80.88975292093613,1.0
170000,1.7187246,-0.57361805,8.125241,249.05714285714285,-4.361556850839406,-2.180778425419703,74.22037312015891,1.0
180000,1.6661286,-0.48673627,9.035457,273.61538461538464,-2.465436161362699,-1.2327180806813496,76.46067642952714,1.0
190000,1.610424,-0.4174555,9.934093,372.3636363636364,-3.9366100752218203,-1.9683050376109101,130.89418124068868,1.0
200000,1.5993845,-0.37878156,10.986945,613.8235294117648,-0.9557904683881335,-0.47789523419406676,265.2805692321724,1.0
210000,1.532888,-0.32329467,11.8512535,380.7916666666667,-4.950191074609757,-2.4750955373048784,128.04326848983766,1.0
220000,1.4834405,-0.19954929,13.102234,230.2,-5.673335158990489,-2.8366675794952445,98.81041751967535,1.0
230000,1.420361,-0.10860274,13.870668,871.375,0.3351407391684396,0.1675703695842198,301.0091670581273,1.0
240000,1.3588794,-0.00814165,15.127542,1380.857142857143,15.040446700062603,7.520223350031301,597.038085995242,1.0
250000,1.3649426,0.0056893774,15.99068,533.5,-9.106901705265045,-4.553450852632523,176.9134715795517,1.0
260000,1.3526635,0.15583716,17.23351,1961.25,23.857546970248222,11.928773485124111,842.3189999461174,1.0
270000,1.3260084,0.2911514,17.778181,2395.6666666666665,37.68733008613344,18.84366504306672,1064.423716545105,1.0
